d,sigma_color,sigma_space,PSNR
3,25,25,15.553861644415587
3,25,50,15.553882009253535
3,25,75,15.553873231768229
3,25,100,15.553912881627914
3,25,125,15.556518338165347
3,50,25,16.06828006693724
3,50,50,16.068434975110325
3,50,75,16.068475511381074
3,50,100,16.068484197778226
3,50,125,16.068482930376547
3,75,25,17.502353465092504
3,75,50,17.50301923603616
3,75,75,17.50311923952944
3,75,100,17.5031429252814
3,75,125,17.503175328542326
3,100,25,19.620255682367805
3,100,50,19.621395593668304
3,100,75,19.62164895826977
3,100,100,19.621738258233698
3,100,125,19.621753647739432
3,125,25,21.272494253217864
3,125,50,21.273934331273058
3,125,75,21.27412640055311
3,125,100,21.27423576288027
3,125,125,21.274251376595878
5,25,25,15.587547506072251
5,25,50,15.582672948110153
5,25,75,15.583576301372464
5,25,100,15.583214283269442
5,25,125,15.582438227728703
5,50,25,16.383268468515404
5,50,50,16.38370539216831
5,50,75,16.383762464937686
5,50,100,16.383782342524455
5,50,125,16.383795749421544
5,75,25,18.90012234536673
5,75,50,18.90207902027238
5,75,75,18.90242989104208
5,75,100,18.90257533698902
5,75,125,18.902620614222624
5,100,25,22.34741292128211
5,100,50,22.35011088868044
5,100,75,22.35074178943669
5,100,100,22.350875440279196
5,100,125,22.35094504716661
5,125,25,24.71845936057726
5,125,50,24.7211927355977
5,125,75,24.721746690293294
5,125,100,24.721892010237188
5,125,125,24.721934707872272
7,25,25,15.600165767940988
7,25,50,15.600243188811188
7,25,75,15.600260488202515
7,25,100,15.6002629119726
7,25,125,15.60026824057175
7,50,25,16.56140631090769
7,50,50,16.56211842236283
7,50,75,16.562263470128084
7,50,100,16.56231072368208
7,50,125,16.562325986242218
7,75,25,19.840237260277345
7,75,50,19.843498052622717
7,75,75,19.844248648491924
7,75,100,19.844479046667022
7,75,125,19.844583175999524
7,100,25,23.94824055823877
7,100,50,23.952525438065276
7,100,75,23.953167303333196
7,100,100,23.95335344230982
7,100,125,23.953475766615995
7,125,25,26.429768654910074
7,125,50,26.432765716890096
7,125,75,26.433414689886817
7,125,100,26.433571484470765
7,125,125,26.433619454207772
9,25,25,15.606776193236636
9,25,50,15.606880276597241
9,25,75,15.606904542072312
9,25,100,15.606907414282261
9,25,125,15.606908090642072
9,50,25,16.634906256331302
9,50,50,16.63576043407155
9,50,75,16.63589603217708
9,50,100,16.635931635012614
9,50,125,16.63596384455814
9,75,25,20.23287436173974
9,75,50,20.23670799319146
9,75,75,20.237397195465373
9,75,100,20.237602222898616
9,75,125,20.23770644911079
9,100,25,24.497187097316043
9,100,50,24.50104835615302
9,100,75,24.501731526852222
9,100,100,24.501927641426064
9,100,125,24.50205084607005
9,125,25,26.81500710602558
9,125,50,26.81635690310596
9,125,75,26.816637587233387
9,125,100,26.816834799371712
9,125,125,26.816949629574705
11,25,25,15.60808138157439
11,25,50,15.608161594302004
11,25,75,15.608170528542162
11,25,100,15.608173855717414
11,25,125,15.608175236634917
11,50,25,16.667237599904496
11,50,50,16.668116982078313
11,50,75,16.668299767448943
11,50,100,16.668370418288504
11,50,125,16.6683980424634
11,75,25,20.469259421937856
11,75,50,20.47278102385409
11,75,75,20.473456223152876
11,75,100,20.47374805786977
11,75,125,20.473810712124624
11,100,25,24.695697771790783
11,100,50,24.69787218061841
11,100,75,24.698301405581343
11,100,100,24.698457142618707
11,100,125,24.698499084329583
11,125,25,26.727791796368656
11,125,50,26.725894611211984
11,125,75,26.725684703118525
11,125,100,26.725636153591417
11,125,125,26.725657251598058
