Kernel Size,SigmaX,PSNR
"(3, 3)",10,22.601500977771558
"(3, 3)",20,22.601500977771558
"(3, 3)",30,22.601500977771558
"(3, 3)",40,22.601500977771558
"(3, 3)",50,22.601500977771558
"(3, 3)",60,22.601500977771558
"(3, 3)",70,22.601500977771558
"(3, 3)",80,22.601500977771558
"(3, 3)",90,22.601500977771558
"(3, 3)",100,22.601500977771558
"(5, 5)",10,25.213115596123338
"(5, 5)",20,25.213115596123338
"(5, 5)",30,25.213115596123338
"(5, 5)",40,25.213115596123338
"(5, 5)",50,25.213115596123338
"(5, 5)",60,25.213115596123338
"(5, 5)",70,25.213115596123338
"(5, 5)",80,25.213115596123338
"(5, 5)",90,25.213115596123338
"(5, 5)",100,25.213115596123338
"(7, 7)",10,25.49807719848472
"(7, 7)",20,25.46490517351924
"(7, 7)",30,25.46490517351924
"(7, 7)",40,25.447624388229713
"(7, 7)",50,25.447624388229713
"(7, 7)",60,25.447624388229713
"(7, 7)",70,25.447624388229713
"(7, 7)",80,25.447624388229713
"(7, 7)",90,25.447624388229713
"(7, 7)",100,25.447624388229713
"(9, 9)",10,25.059474683321234
"(9, 9)",20,24.999192001589975
"(9, 9)",30,24.980102613241204
"(9, 9)",40,24.980102613241204
"(9, 9)",50,24.980102613241204
"(9, 9)",60,24.980102613241204
"(9, 9)",70,24.980102613241204
"(9, 9)",80,24.980102613241204
"(9, 9)",90,24.980102613241204
"(9, 9)",100,24.980102613241204
