d,sigmaX,PSNR
3,1,23.747215814354263
3,2,24.070380333258
3,3,24.07066542764063
3,4,24.07066542764063
3,5,24.065045903670025
5,1,25.02703845945666
5,2,26.329873494237113
5,3,26.332143747342286
5,4,26.31284968315942
5,5,26.30478791868198
7,1,25.14537620595391
7,2,26.86504320256711
7,3,26.798874974799563
7,4,26.73137853649373
7,5,26.68170818763813
9,1,25.14537620595391
9,2,26.958625740212856
9,3,26.795062955318127
9,4,26.620564934537526
9,5,26.530222216631966
11,1,25.14537620595391
11,2,26.97600955786955
11,3,26.691378791396176
11,4,26.408614799637398
11,5,26.253009679491605
