h,PSNR
1,18.13529170983635
2,18.13529170983635
3,18.13529170983635
4,18.13529170983635
5,18.13529170983635
6,18.13529170983635
7,18.13529170983635
8,18.13529170983635
9,18.13529170983635
10,18.13529170983635
11,18.13531805018201
12,18.136232314336297
13,18.145076254831245
14,18.168474244443626
15,18.21346178741552
16,18.289091776766607
17,18.414504539762483
18,18.606235576721748
19,18.88108530176567
20,19.232477151884705
21,19.656808528341596
22,20.148560651563724
23,20.699718072189427
24,21.288743854206395
25,21.895607717336677
26,22.492722574286077
27,23.0596412971137
28,23.573875628838042
29,24.026097860316664
30,24.409385188398357
31,24.72651101586511
32,24.980201144830687
33,25.17899318798374
34,25.3319305171772
35,25.451439663813463
36,25.537641463307672
37,25.603361759556066
38,25.650626681863603
39,25.68333462653118
40,25.70739763090739
41,25.722931482712394
42,25.731931261665245
43,25.738644527934568
44,25.741214096150095
45,25.741031073536323
46,25.740434935611308
47,25.737059023046022
48,25.73504810765026
49,25.72964964763109
50,25.72362353935132
51,25.72020636559283
52,25.713522013815467
53,25.707742666346093
54,25.700910857176517
55,25.696230064062433
56,25.692228622733133
57,25.686690100220805
58,25.681442376643616
59,25.67633145521019
60,25.671924553832337
61,25.667022291661944
62,25.662162086813392
63,25.658048834083367
64,25.653931695568367
65,25.65034739500173
66,25.64599636920792
67,25.64245836717631
68,25.639345234358423
69,25.637063784513533
70,25.63295632173765
71,25.630235803328304
72,25.62666520078711
73,25.62338185223014
74,25.621027231964014
75,25.61850415291207
76,25.616010489849277
77,25.613849156342607
78,25.61113672550222
79,25.60834420636809
80,25.605527039958538
81,25.60319745360576
82,25.601150544667213
83,25.599127642320422
84,25.597035148433108
85,25.595319671738558
86,25.593564600157567
87,25.591833240795594
88,25.58987502942841
89,25.58843675934358
90,25.5867342484881
91,25.585280269527342
92,25.583583300394587
93,25.58259900811072
94,25.581216210234214
95,25.58009098000921
96,25.578638267695617
97,25.577340794835777
98,25.576438142928744
99,25.575124617982844
