sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,db1,soft,,False,BayesShrink,True,18.04201578601353
0.001,db1,soft,,False,BayesShrink,False,18.04201578601353
0.001,db1,soft,,False,VisuShrink,True,18.260711736858596
0.001,db1,soft,,False,VisuShrink,False,18.260711736858596
0.001,db1,soft,1,False,BayesShrink,True,18.041952330559656
0.001,db1,soft,1,False,BayesShrink,False,18.041952330559656
0.001,db1,soft,1,False,VisuShrink,True,18.217982197662877
0.001,db1,soft,1,False,VisuShrink,False,18.217982197662877
0.001,db1,soft,2,False,BayesShrink,True,18.04201138051925
0.001,db1,soft,2,False,BayesShrink,False,18.04201138051925
0.001,db1,soft,2,False,VisuShrink,True,18.257295130231334
0.001,db1,soft,2,False,VisuShrink,False,18.257295130231334
0.001,db1,soft,3,False,BayesShrink,True,18.04201629016486
0.001,db1,soft,3,False,BayesShrink,False,18.04201629016486
0.001,db1,soft,3,False,VisuShrink,True,18.26192426462289
0.001,db1,soft,3,False,VisuShrink,False,18.26192426462289
0.001,db1,hard,,False,BayesShrink,True,18.041641535622702
0.001,db1,hard,,False,BayesShrink,False,18.041641535622702
0.001,db1,hard,,False,VisuShrink,True,18.041727861136
0.001,db1,hard,,False,VisuShrink,False,18.041727861136
0.001,db1,hard,1,False,BayesShrink,True,18.041641535622706
0.001,db1,hard,1,False,BayesShrink,False,18.041641535622706
0.001,db1,hard,1,False,VisuShrink,True,18.041680170043445
0.001,db1,hard,1,False,VisuShrink,False,18.041680170043445
0.001,db1,hard,2,False,BayesShrink,True,18.041641535622702
0.001,db1,hard,2,False,BayesShrink,False,18.041641535622702
0.001,db1,hard,2,False,VisuShrink,True,18.041724941970465
0.001,db1,hard,2,False,VisuShrink,False,18.041724941970465
0.001,db1,hard,3,False,BayesShrink,True,18.041641535622702
0.001,db1,hard,3,False,BayesShrink,False,18.041641535622702
0.001,db1,hard,3,False,VisuShrink,True,18.04173343639745
0.001,db1,hard,3,False,VisuShrink,False,18.04173343639745
