BM3D Denoising Results
==================================================

Stage: HARD_THRESHOLDING
--------------------------------------------------
Sigma PSD    PSNR (dB) 
--------------------------------------------------
0.11         16.22     
0.14         18.42     
0.17         20.02     
0.20         20.75     
0.23         20.90     
0.27         20.81     
0.30         20.63     
0.33         20.44     
0.36         20.25     
0.39         20.08     
0.42         19.91     
0.45         19.75     
0.48         19.60     
0.51         19.46     
0.54         19.32     
0.58         19.18     
0.61         19.05     
0.64         18.93     
0.67         18.82     
0.70         18.71     

Stage: ALL_STAGES
--------------------------------------------------
Sigma PSD    PSNR (dB) 
--------------------------------------------------
0.11         13.71     
0.14         15.82     
0.17         18.45     
0.20         20.31     
0.23         20.88     
0.27         20.92     
0.30         20.84     
0.33         20.76     
0.36         20.67     
0.39         20.61     
0.42         20.53     
0.45         20.47     
0.48         20.40     
0.51         20.33     
0.54         20.27     
0.58         20.20     
0.61         20.13     
0.64         20.07     
0.67         20.02     
0.70         19.96     

