D,Sigma Color,Sigma Space,PSNR
3,25,25,22.035841532465113
3,25,50,22.036259142557014
3,25,75,22.036330638778722
3,25,100,22.036364179867405
3,25,125,22.036382882048983
3,50,25,24.55595498012272
3,50,50,24.55646894598603
3,50,75,24.556532812615526
3,50,100,24.556564910594684
3,50,125,24.55658353410309
3,75,25,25.143450618445414
3,75,50,25.143524730993665
3,75,75,25.14351946408412
3,75,100,25.143528116882248
3,75,125,25.14354767978897
3,100,25,25.189058771826716
3,100,50,25.18890746531546
3,100,75,25.188877559473063
3,100,100,25.18889327269236
3,100,125,25.188842838513846
3,125,25,25.15375939762196
3,125,50,25.153574875739658
3,125,75,25.153540058828
3,125,100,25.153526735456676
3,125,125,25.153544709491303
5,25,25,23.02441210066375
5,25,50,23.025230586867202
5,25,75,23.02543486676945
5,25,100,23.025488922082115
5,25,125,23.02551017476548
5,50,25,25.932519765814874
5,50,50,25.932683839966234
5,50,75,25.932685343903565
5,50,100,25.932675117287598
5,50,125,25.932666093833646
5,75,25,26.239180845979618
5,75,50,26.238569387133307
5,75,75,26.238451752891297
5,75,100,26.238411089949082
5,75,125,26.238395115336374
5,100,25,26.046530947739935
5,100,50,26.045389875521362
5,100,75,26.04512379200336
5,100,100,26.045081967118122
5,100,125,26.045026098337004
5,125,25,25.865272103370614
5,125,50,25.864189216341153
5,125,75,25.863940075091886
5,125,100,25.8638935939712
5,125,125,25.863836751515205
7,25,25,23.39112810769238
7,25,50,23.391947249165028
7,25,75,23.39205633448174
7,25,100,23.392119508023775
7,25,125,23.392156038506947
7,50,25,25.961281273785332
7,50,50,25.960316754883067
7,50,75,25.960203696827367
7,50,100,25.9601638926082
7,50,125,25.96014557974522
7,75,25,25.770660171913132
7,75,50,25.768375948205552
7,75,75,25.767844390448115
7,75,100,25.767647914418088
7,75,125,25.767579866613435
7,100,25,25.30856527465085
7,100,50,25.30568227174605
7,100,75,25.305085336078076
7,100,100,25.304883859455572
7,100,125,25.30484286247381
7,125,25,24.989776708280715
7,125,50,24.986809794620658
7,125,75,24.986226693299855
7,125,100,24.986090998281103
7,125,125,24.986027868902198
9,25,25,23.43268359467281
9,25,50,23.433401157644504
9,25,75,23.433531167274158
9,25,100,23.433556459130077
9,25,125,23.433561957373374
9,50,25,25.608097978427608
9,50,50,25.60565285573592
9,50,75,25.605126479936814
9,50,100,25.605022300258312
9,50,125,25.604975162144527
9,75,25,25.09166527417715
9,75,50,25.087253191263677
9,75,75,25.086566343059
9,75,100,25.08621039807633
9,75,125,25.086086393501695
9,100,25,24.48882976908063
9,100,50,24.483606285021086
9,100,75,24.48262696155837
9,100,100,24.482360949402416
9,100,125,24.482196288521326
9,125,25,24.10576029993544
9,125,50,24.100557586572158
9,125,75,24.09958786205663
9,125,100,24.09925566299691
9,125,125,24.099103425959548
11,25,25,23.356996105936865
11,25,50,23.35679008060002
11,25,75,23.356738388800032
11,25,100,23.356762157004045
11,25,125,23.35672068742476
11,50,25,25.13590294790105
11,50,50,25.131405824059158
11,50,75,25.130452146135255
11,50,100,25.130101212407645
11,50,125,25.1299829490032
11,75,25,24.37820191445261
11,75,50,24.370706100988254
11,75,75,24.369393663786564
11,75,100,24.368989706935444
11,75,125,24.368797499618356
11,100,25,23.687812051473994
11,100,50,23.679897807789686
11,100,75,23.678435213718654
11,100,100,23.677922706287823
11,100,125,23.67767349933702
11,125,25,23.26901500672825
11,125,50,23.261102812791652
11,125,75,23.259537103988524
11,125,100,23.259038972083065
11,125,125,23.258830147484616
