Kernel Size,SigmaX,PSNR
"(3, 3)",10,27.908238827109816
"(3, 3)",20,27.908238827109816
"(3, 3)",30,27.908238827109816
"(3, 3)",40,27.908238827109816
"(3, 3)",50,27.908238827109816
"(3, 3)",60,27.908238827109816
"(3, 3)",70,27.908238827109816
"(3, 3)",80,27.908238827109816
"(3, 3)",90,27.908238827109816
"(3, 3)",100,27.908238827109816
"(5, 5)",10,27.447247200216157
"(5, 5)",20,27.447247200216157
"(5, 5)",30,27.447247200216157
"(5, 5)",40,27.447247200216157
"(5, 5)",50,27.447247200216157
"(5, 5)",60,27.447247200216157
"(5, 5)",70,27.447247200216157
"(5, 5)",80,27.447247200216157
"(5, 5)",90,27.447247200216157
"(5, 5)",100,27.447247200216157
"(7, 7)",10,26.28400391008308
"(7, 7)",20,26.237927996960867
"(7, 7)",30,26.237927996960867
"(7, 7)",40,26.21735461412113
"(7, 7)",50,26.21735461412113
"(7, 7)",60,26.21735461412113
"(7, 7)",70,26.21735461412113
"(7, 7)",80,26.21735461412113
"(7, 7)",90,26.21735461412113
"(7, 7)",100,26.21735461412113
"(9, 9)",10,25.22686566672853
"(9, 9)",20,25.155695385798204
"(9, 9)",30,25.135984946940127
"(9, 9)",40,25.135984946940127
"(9, 9)",50,25.135984946940127
"(9, 9)",60,25.135984946940127
"(9, 9)",70,25.135984946940127
"(9, 9)",80,25.135984946940127
"(9, 9)",90,25.135984946940127
"(9, 9)",100,25.135984946940127
