h,Template Window Size,Search Window Size,PSNR
10,5,5,20.038077105610682
10,5,7,20.03935981131064
10,5,9,20.040765160396564
10,7,5,20.036378808096643
10,7,7,20.036432586814268
10,7,9,20.036469303748095
10,9,5,20.036305608207332
10,9,7,20.036305608207332
10,9,9,20.036305608207332
10,11,5,20.036305608207332
10,11,7,20.036305608207332
10,11,9,20.036305608207332
10,13,5,20.036305608207332
10,13,7,20.036305608207332
10,13,9,20.036305608207332
10,15,5,20.036305608207332
10,15,7,20.036305608207332
10,15,9,20.036305608207332
10,17,5,20.036305608207332
10,17,7,20.036305608207332
10,17,9,20.036305608207332
10,19,5,20.036305608207332
10,19,7,20.036305608207332
10,19,9,20.036305608207332
20,5,5,22.49251629020482
20,5,7,23.471848989589024
20,5,9,24.18806948244051
20,7,5,22.428931823628385
20,7,7,23.274527250343336
20,7,9,23.94365760790246
20,9,5,22.352961601455647
20,9,7,23.155095908236586
20,9,9,23.73569213369635
20,11,5,22.283926555478303
20,11,7,23.044313916518846
20,11,9,23.58831816988772
20,13,5,22.225863421188503
20,13,7,22.95288353680415
20,13,9,23.467981093225504
20,15,5,22.174677905904158
20,15,7,22.873391064325112
20,15,9,23.363931175816486
20,17,5,22.132064643719353
20,17,7,22.80781154575284
20,17,9,23.278097064462877
20,19,5,22.09651896687347
20,19,7,22.75007813337844
20,19,9,23.202848120353718
30,5,5,26.494332933332846
30,5,7,26.764560110582572
30,5,9,26.621181889117164
30,7,5,26.61841918731477
30,7,7,26.565393373754375
30,7,9,26.24986967027814
30,9,5,26.573439038998504
30,9,7,26.355903968577195
30,9,9,25.892061347050447
30,11,5,26.49909522360966
30,11,7,26.155040931135325
30,11,9,25.615935486115635
30,13,5,26.42593543086852
30,13,7,25.981741327233614
30,13,9,25.3869115505988
30,15,5,26.360271869869898
30,15,7,25.836801528580267
30,15,9,25.19470871655521
30,17,5,26.297967375229735
30,17,7,25.708519501321064
30,17,9,25.027629782443107
30,19,5,26.24143426672914
30,19,7,25.594302121665603
30,19,9,24.88056705056499
40,5,5,26.406027918512653
40,5,7,25.90424714818102
40,5,9,25.456369110031467
40,7,5,26.206096522795022
40,7,7,25.443404332207066
40,7,9,24.856583742582878
40,9,5,26.02317293540883
40,9,7,25.14753314983428
40,9,9,24.454790845322165
40,11,5,25.887577029319605
40,11,7,24.930117881869258
40,11,9,24.189202121355514
40,13,5,25.78490433563591
40,13,7,24.7679519118716
40,13,9,23.994696332238586
40,15,5,25.70632210299474
40,15,7,24.643519314586886
40,15,9,23.844971940290932
40,17,5,25.641209212059298
40,17,7,24.540973294820027
40,17,9,23.72245950763166
40,19,5,25.586129636492036
40,19,7,24.454527578761756
40,19,9,23.619487981985014
50,5,5,25.88197096560336
50,5,7,25.149370383442925
50,5,9,24.608175601109593
50,7,5,25.65774929688216
50,7,7,24.718905400350888
50,7,9,24.053486226808026
50,9,5,25.49879962956922
50,9,7,24.47513889210304
50,9,9,23.723688583768237
50,11,5,25.390560277899073
50,11,7,24.309295359537487
50,11,9,23.5220038948087
50,13,5,25.312711748137765
50,13,7,24.190353256770493
50,13,9,23.38113870627193
50,15,5,25.255459877506414
50,15,7,24.102456955293675
50,15,9,23.275643479619063
50,17,5,25.208725807607735
50,17,7,24.03085574267446
50,17,9,23.19093310859141
50,19,5,25.170223057471276
50,19,7,23.97198708354366
